date, day, frac_nr, frac_guess_magn, frac_magn, frac_guess_prob, frac_prob 
2017-06-29T13:23:23.524Z,0,8,nan,35, 0.17, 0.3 
2017-06-29T13:23:23.524Z,0,6,nan,15, 0.18, 0.7 
2017-06-29T13:23:23.524Z,0,5,nan,25, 0.24, 0.4 
2017-06-29T13:23:23.524Z,0,7,nan,20, 0.17, 0.5 
2017-06-29T13:23:23.524Z,0,9,nan,25, 0.28, 0.5 
2017-06-29T13:23:23.524Z,0,6,25,15, nan, 0.7 
2017-06-29T13:23:23.524Z,0,5,16,25, nan, 0.4 
2017-06-29T13:23:23.524Z,0,7,14,20, nan, 0.5 
2017-06-29T13:23:23.524Z,0,9,11,25, nan, 0.5 
2017-06-29T13:23:23.524Z,0,8,19,35, nan, 0.3 
2017-06-29T13:23:23.524Z,0,6,nan,15, 0.17, 0.7 
2017-06-29T13:23:23.524Z,0,8,nan,35, 0.27, 0.3 
2017-06-29T13:23:23.524Z,0,5,nan,25, 0.16, 0.4 
2017-06-29T13:23:23.524Z,0,7,nan,20, 0.21, 0.5 
2017-06-29T13:23:23.524Z,0,9,nan,25, 0.17, 0.5 
2017-06-29T13:23:23.524Z,0,6,20,15, nan, 0.7 
2017-06-29T13:23:23.524Z,0,9,15,25, nan, 0.5 
2017-06-29T13:23:23.524Z,0,8,35,35, nan, 0.3 
2017-06-29T13:23:23.524Z,0,5,20,25, nan, 0.4 
2017-06-29T13:23:23.524Z,0,7,25,20, nan, 0.5 
2017-07-04T14:10:53.596Z,1,8,nan,35, 0.18, 0.3 
2017-07-04T14:10:53.596Z,1,6,nan,15, 0.36, 0.7 
2017-07-04T14:10:53.596Z,1,5,nan,25, 0.19, 0.4 
2017-07-04T14:10:53.596Z,1,7,nan,20, 0.24, 0.5 
2017-07-04T14:10:53.596Z,1,9,nan,25, 0.34, 0.5 
2017-07-04T14:10:53.596Z,1,8,17,35, nan, 0.3 
2017-07-04T14:10:53.596Z,1,7,9,20, nan, 0.5 
2017-07-04T14:10:53.596Z,1,6,15,15, nan, 0.7 
2017-07-04T14:10:53.596Z,1,5,14,25, nan, 0.4 
2017-07-04T14:10:53.596Z,1,9,18,25, nan, 0.5 
2017-07-04T14:10:53.596Z,1,8,nan,35, 0.32, 0.3 
2017-07-04T14:10:53.596Z,1,9,nan,25, 0.5, 0.5 
2017-07-04T14:10:53.596Z,1,7,nan,20, 0.41, 0.5 
2017-07-04T14:10:53.596Z,1,5,nan,25, 0.24, 0.4 
2017-07-04T14:10:53.596Z,1,6,nan,15, 0.17, 0.7 
2017-07-04T14:10:53.596Z,1,9,25,25, nan, 0.5 
2017-07-04T14:10:53.596Z,1,8,25,35, nan, 0.3 
2017-07-04T14:10:53.596Z,1,6,34,15, nan, 0.7 
2017-07-04T14:10:53.596Z,1,7,20,20, nan, 0.5 
2017-07-04T14:10:53.596Z,1,5,15,25, nan, 0.4 
2017-07-04T14:13:52.587Z,2,2,nan,35, 0.15, 0.3 
2017-07-04T14:13:52.587Z,2,4,nan,15, 0.16, 0.7 
2017-07-04T14:13:52.587Z,2,3,nan,25, 0.19, 0.4 
2017-07-04T14:13:52.587Z,2,1,nan,20, 0.34, 0.5 
2017-07-04T14:13:52.587Z,2,0,nan,25, 0.6, 0.5 
2017-07-04T14:13:52.587Z,2,0,14,25, nan, 0.5 
2017-07-04T14:13:52.587Z,2,1,14,20, nan, 0.5 
2017-07-04T14:13:52.587Z,2,4,12,15, nan, 0.7 
2017-07-04T14:13:52.587Z,2,3,14,25, nan, 0.4 
2017-07-04T14:13:52.587Z,2,2,9,35, nan, 0.3 
2017-07-04T14:13:52.587Z,2,3,nan,25, 0.25, 0.4 
2017-07-04T14:13:52.587Z,2,1,nan,20, 0.26, 0.5 
2017-07-04T14:13:52.587Z,2,2,nan,35, 0.15, 0.3 
2017-07-04T14:13:52.587Z,2,0,nan,25, 0.22, 0.5 
2017-07-04T14:13:52.587Z,2,4,nan,15, 0.29, 0.7 
2017-07-04T14:13:52.587Z,2,4,15,15, nan, 0.7 
2017-07-04T14:13:52.587Z,2,3,12,25, nan, 0.4 
2017-07-04T14:13:52.587Z,2,1,11,20, nan, 0.5 
2017-07-04T14:13:52.587Z,2,0,25,25, nan, 0.5 
2017-07-04T14:13:52.587Z,2,2,35,35, nan, 0.3 
2017-07-10T12:58:52.355Z,3,2,nan,35, 0.3, 0.3 
2017-07-10T12:58:52.355Z,3,4,nan,15, 0.5, 0.7 
2017-07-10T12:58:52.355Z,3,3,nan,25, 0.4, 0.4 
2017-07-10T12:58:52.355Z,3,1,nan,20, 0.3, 0.5 
2017-07-10T12:58:52.355Z,3,0,nan,25, 0.6, 0.5 
2017-07-10T12:58:52.355Z,3,2,20,35, nan, 0.3 
2017-07-10T12:58:52.355Z,3,0,30,25, nan, 0.5 
2017-07-10T12:58:52.355Z,3,3,25,25, nan, 0.4 
2017-07-10T12:58:52.355Z,3,1,20,20, nan, 0.5 
2017-07-10T12:58:52.355Z,3,4,35,15, nan, 0.7 
2017-07-10T12:58:52.355Z,3,0,20,25, nan, 0.5 
2017-07-10T12:58:52.355Z,3,4,25,15, nan, 0.7 
2017-07-10T12:58:52.355Z,3,3,25,25, nan, 0.4 
2017-07-10T12:58:52.355Z,3,1,15,20, nan, 0.5 
2017-07-10T12:58:52.355Z,3,2,15,35, nan, 0.3 
2017-07-10T12:58:52.355Z,3,2,nan,35, 0.01, 0.3 
2017-07-10T12:58:52.355Z,3,0,nan,25, 0.29, 0.5 
2017-07-10T12:58:52.355Z,3,3,nan,25, 0.35, 0.4 
2017-07-10T12:58:52.355Z,3,4,nan,15, 0.07, 0.7 
2017-07-10T12:58:52.355Z,3,1,nan,20, 0.34, 0.5 
2017-07-10T13:09:02.956Z,4,2,7,35, nan, 0.3 
2017-07-10T13:09:02.956Z,4,4,6,15, nan, 0.7 
2017-07-10T13:09:02.956Z,4,3,12,25, nan, 0.4 
2017-07-10T13:09:02.956Z,4,1,13,20, nan, 0.5 
2017-07-10T13:09:02.956Z,4,0,28,25, nan, 0.5 
2017-07-10T13:09:02.956Z,4,0,nan,25, 0.43, 0.5 
2017-07-10T13:09:02.956Z,4,1,nan,20, 0.19, 0.5 
2017-07-10T13:09:02.956Z,4,2,nan,35, 0.18, 0.3 
2017-07-10T13:09:02.956Z,4,3,nan,25, 0.15, 0.4 
2017-07-10T13:09:02.956Z,4,4,nan,15, 0.13, 0.7 
